,years_exp
1960,5
989,8
4730,2
2725,0
5872,0
2386,4
4976,1
2967,4
1464,6
364,7
4294,2
4684,2
3156,3
4037,2
4815,2
5599,1
522,9
6664,0
1145,7
2804,4
2390,4
6518,0
2359,4
6725,0
2738,1
1695,6
1418,6
6124,0
103,11
2179,1
4062,2
4585,2
1930,5
1212,7
2130,5
204,9
129,8
4840,2
898,3
3555,3
6352,0
3059,0
162,8
4138,2
4961,10
2795,0
6122,0
3987,0
5274,1
1995,5
6347,0
4104,2
1451,6
3111,0
3641,0
4507,2
1438,5
601,6
5514,1
3867,3
933,3
606,9
1586,6
1158,7
2168,5
5516,1
6208,0
3992,0
6493,0
729,4
4675,2
1500,6
2671,4
5171,1
7,0
3915,0
1075,4
1631,6
3145,0
6650,0
1358,6
273,12
3543,3
1465,3
1000,9
1859,5
1604,6
2968,2
1188,7
2636,0
4499,1
859,8
2672,0
2389,4
4850,2
1387,6
5311,1
3879,0
6239,0
738,12
6120,0
3063,4
5146,1
CLE,
2939,0
4742,2
5368,1
1933,5
259,13
2821,4
4266,2
997,8
1302,8
717,9
1312,7
2816,4
4157,2
689,10
3773,3
3620,1
633,9
1574,6
491,11
6095,0
154,10
6047,0
1239,4
1877,5
615,6
1648,1
4301,2
3094,0
6520,0
3274,3
5230,1
4922,1
233,12
346,10
50,5
3490,3
2937,0
2268,5
3035,4
992,5
4361,2
2631,1
6557,0
2436,4
1179,7
5857,0
2815,4
958,5
5456,1
1737,7
5934,0
6624,0
2495,4
4868,0
2445,4
5427,1
5518,1
575,9
2240,5
677,13
4817,2
6242,0
3343,3
4105,2
993,8
4353,2
2252,5
3878,3
887,5
3298,3
345,10
2086,5
5219,1
583,9
3586,0
2716,1
4603,2
6059,0
3532,3
3705,3
2407,4
696,13
1477,6
5382,1
5639,1
508,9
2397,4
6477,0
613,9
6084,0
1732,2
4287,2
4827,2
5175,1
5801,1
5221,1
1434,6
3833,0
4892,1
4464,2
2852,0
5008,1
4562,2
6585,0
6036,0
3761,3
5996,0
1287,8
2246,1
5080,1
1187,2
2597,0
5111,1
4510,2
1286,5
841,8
3018,1
4154,2
3301,3
486,10
5446,1
6689,0
643,9
6466,0
3327,3
3714,3
5160,1
1366,6
4128,2
1215,7
1161,4
